"id_buffer","class","Categoria","pland","np","ai","edge","enn_mean","shannon_paisagem"
10,3,"Formação Florestal",54.7424463359219,6,99.0040897880179,6.51002832546131,307.696723671361,0.688642252242824
10,15,"Pastagem",45.2575536640781,1,99.3310657596372,6.51002832546131,NA,0.688642252242824
11,3,"Formação Florestal",7.08081699124652,39,84.8603625673689,14.2158859003041,281.096176866278,0.836499545390522
11,6,"Floresta Alagável",18.4908733120717,16,94.5405505952381,14.9795942756082,159.173274307024,0.836499545390522
11,11,"Campo Alagado",2.20872633507498,14,84.16,5.34595862712893,348.447151688033,0.836499545390522
11,15,"Pastagem",71.9685146230576,7,97.8163865945125,20.4892046974452,151.372534156391,0.836499545390522
11,33,"Corpo d'Água",0.220533351428378,8,42.4778761061947,1.78925962214111,369.179355497678,0.836499545390522
11,39,"Soja",0.0305353871208523,1,91.6666666666667,0.152741675060828,NA,0.836499545390522
12,3,"Formação Florestal",52.2408821034775,14,96.7459979703408,22.8995641983038,176.66312917488,0.854442587932891
12,4,"Formação Savânica",1.6793893129771,5,90.6878306878307,2.18194989979075,300.57348429673,0.854442587932891
12,9,"Silvicultura",0.0339270568278202,1,92.3076923076923,0.174555991983259,NA,0.854442587932891
12,15,"Pastagem",43.8982188295165,11,96.8109161793372,19.3648053606428,227.075922817879,0.854442587932891
12,29,"Afloramento Rochoso",2.14758269720102,14,82.4691358024691,5.76034773544757,362.610443138773,0.854442587932891
13,3,"Formação Florestal",85.3804937601736,2,99.1106403389559,10.828605277274,512.880112896722,0.422947303689868
13,15,"Pastagem",14.5008138903961,16,94.3949649685311,10.545076841011,347.559208178244,0.422947303689868
13,29,"Afloramento Rochoso",0.118692349430277,3,74.1379310344828,0.588866752238462,2551.97821219033,0.422947303689868
14,3,"Formação Florestal",21.2193137121931,24,95.1120822206037,14.1308852217613,203.549979168955,0.575040249253281
14,4,"Formação Savânica",0.2712600027126,3,84.5070422535211,0.806856100625255,874.962984875425,0.575040249253281
14,12,"Formação Campestre",0.342465753424658,8,74.585635359116,1.34112568076902,393.744412476834,0.575040249253281
14,15,"Pastagem",77.895700528957,1,98.6657026423031,14.2508232907732,NA,0.575040249253281
14,29,"Afloramento Rochoso",0.2712600027126,7,66.9014084507042,1.35202914158827,1088.54468045811,0.575040249253281
15,3,"Formação Florestal",49.7795713510581,11,97.9392065945389,15.3432503777688,298.916579873393,0.881042649515552
15,9,"Silvicultura",0.654503526858383,6,79.3296089385475,1.85383977556552,158.505774486521,0.881042649515552
15,15,"Pastagem",45.7745523602822,8,96.4577962111871,20.7521005464776,273.130489418432,0.881042649515552
15,29,"Afloramento Rochoso",0.420510037981552,3,87.1111111111111,1.13411374505185,242.166589244594,0.881042649515552
15,39,"Soja",3.22843190450353,3,91.6938110749186,4.68912413819516,102.180532241043,0.881042649515552
15,41,"Outras lavouras temporárias",0.142430819316332,6,53.5211267605634,1.00325446677662,616.118985664779,0.881042649515552
